run_date,company,unique_jobs_found_today,places_verified,places_reason,places_address,places_place_id,sample_1_title,sample_1_link,sample_2_title,sample_2_link,sample_3_title,sample_3_link,md_entity_search_link
2026-08-24,"Donohoe Companies Inc., The",1,0,,,,2027 Summer Internship,https://jobs-donohoe.icims.com/jobs/4483/2027-summer-internship/job,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,DRB ENTERPRISES LLC,1,0,,,,Executive Admin Assistant,https://www.indeed.com/viewjob?jk=bf36e33ff7a8a060,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,greene king,1,0,,,,Bar & Waiting Staff: Great Perks & Growth,https://www.learn4good.com/jobs/gaithersburg/maryland/restaurant_and_food_service/5388042708/e/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,HireClearedTalent,1,0,,,,Counterintelligence Program Manager,https://www.linkedin.com/jobs/view/counterintelligence-program-manager-at-hireclearedtalent-4458254141,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,Kidcreate Studios,1,0,,,,Afterschool Enrichment Instructor — Part-Time,https://www.learn4good.com/jobs/gaithersburg/maryland/education/5389186396/e/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,Okaeri Japanese cafe,2,0,,,,Front staff,https://www.indeed.com/viewjob?jk=fac6f4d6b1309f0f,Front staff,https://www.indeed.com/viewjob?jk=fac6f4d6b1309f0f,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,Phaxis,2,0,,,,Optician 1 — $22–$25/Hour | Patient-Focused Opportunity,https://www.linkedin.com/jobs/view/optician-1-%E2%80%94-%2422%E2%80%93%2425-hour-patient-focused-opportunity-at-phaxis-4458514080,Optician 1 — $22–$25/Hour | Patient-Focused Opportunity,https://www.linkedin.com/jobs/view/optician-1-%E2%80%94-%2422%E2%80%93%2425-hour-patient-focused-opportunity-at-phaxis-4458514080,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,Priderock Capital Management,1,0,,,,Property Manager,https://www.indeed.com/viewjob?jk=b2be6b8f6b95c19f,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,"Resource Management Concepts, Inc.",1,0,,,,SharePoint Administrator,https://www.linkedin.com/jobs/view/sharepoint-administrator-at-resource-management-concepts-inc-4456872967,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,"Saul Centers, Inc.",1,0,,,,Accountant II (Property Accountant),https://www.linkedin.com/jobs/view/accountant-ii-property-accountant-at-saul-centers-inc-4458226102,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,Visionary Insights,1,0,,,,Sales And Marketing Specialist,https://www.linkedin.com/jobs/view/sales-and-marketing-specialist-at-visionary-insights-4455867684,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,Visiting Angels Living Assistance Services,1,0,,,,Caregiver (Part-Time),https://jobmesh.io/job/304ba406-de6a-4950-96ff-04071c18c57d,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-24,Worcestershire County Cricket Club,1,0,,,,Part-Time Safeguarding & EDI Lead – Inclusive Impact,https://www.learn4good.com/jobs/silver-spring/maryland/outdoor_and_adventure/5388007443/e/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
