run_date,company,unique_jobs_found_today,places_verified,places_reason,places_address,places_place_id,sample_1_title,sample_1_link,sample_2_title,sample_2_link,sample_3_title,sample_3_link,md_entity_search_link
2026-06-22,"Always Best Care Senior Services - Potomac, MD",1,0,,,,Community Relations Manager,https://www.indeed.com/viewjob?jk=6a8fba84466a7d8b,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Biztec,1,0,,,,Cable Tech,https://www.linkedin.com/jobs/view/cable-tech-at-biztec-4429403412,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,BluePath Labs,1,0,,,,Executive Assistant III - DOE (On-site),https://www.indeed.com/viewjob?jk=3f9913bc8767ab61,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Confidential Jobs,1,0,,,,Financial Controller,https://www.linkedin.com/jobs/view/financial-controller-at-confidential-jobs-4428966099,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,D2 LLC,1,0,,,,Construction Bookeeper(QuickBooks Desktop & Certified Payroll),https://www.linkedin.com/jobs/view/construction-bookeeper-quickbooks-desktop-certified-payroll-at-d2-llc-4431715761,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,DIVINE CONNECT CARE INC,1,0,,,,Part-time Human Resource Coordinator,https://www.adzuna.com/details/5772708965,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Enstructure,1,0,,,,Heavy Equipment Mechanic - No Travel Required,https://tietalent.com/app/en/jobs/p-876066801/germantown-heavy-equipment-mechanic-no-travel-required,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Find Great People | FGP,1,0,,,,Plant Manager,https://www.linkedin.com/jobs/view/plant-manager-at-find-great-people-fgp-4428955331,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Fitzgerald Auto,1,0,,,,"Automotive Technician Full Certification Training, Flexible Schedule",https://jobs.fox8.com/jobs/automotive-technician-full-certification-training-flexible-schedule-gaithersburg-maryland/2832295296-2/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Genesis Administrative Services,1,0,,,,Physical Therapy Assistant (PTA),https://careers.powerbackrehab.com/jobs/49575?lang=en-us,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Homewood Suites by Hilton Rockville-Gaithersburg,1,0,,,,Guest Service Agent,https://www.linkedin.com/jobs/view/guest-service-agent-at-homewood-suites-by-hilton-rockville-gaithersburg-4432015901,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Jovie,1,0,,,,Nanny Positions,https://www.linkedin.com/jobs/view/nanny-positions-at-jovie-4431790777,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Lerner Enterprises,1,0,,,,"Analyst, Asset Management & Capital Markets",https://www.linkedin.com/jobs/view/analyst-asset-management-capital-markets-at-lerner-enterprises-4431721846,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Musical Encounters Inc,1,0,,,,"Part-Time Therapeutic Musician - Silver Spring, DC and Northen VA area",https://www.monster.com/job-openings/part-time-therapeutic-musician-silver-spring-dc-and-northen-va-area-silver-spring-md--0636e77d-fea8-4e30-a352-7c07ec514402,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Sterling Care Hillhaven,1,0,,,,Customer Service Liaison WEEKENDS - Nursing Home,https://www.indeed.com/viewjob?jk=72f3ca873eb596a7,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,Waveguide Consulting Inc,1,0,,,,"Media Production Specialist: Video, Photo & Design Lead",https://jobs.fox8.com/jobs/media-production-specialist-video-photo-design-lead-gaithersburg-maryland/2832181510-2/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-22,White Aid Medical Supplies,1,0,,,,Medical Equipment Sales Representative,https://www.indeed.com/viewjob?jk=4a72ba33bd43c7bc,,,,,https://egov.maryland.gov/businessexpress/entitysearch
