month,company,unique_job_postings_found
2026-02,Montgomery County Public Schools,22
2026-02,DoorDash,19
2026-02,Wyndy.com,17
2026-02,Pizza Hut,14
2026-02,Montgomery County Government,13
2026-02,Aldi,10
2026-02,Uber,9
2026-02,Teleperformance USA,9
2026-02,Wonder,8
2026-02,Trinity Health,8
2026-02,Robert Half,7
2026-02,Doordash,7
2026-02,J.B. Hunt Transport,6
2026-02,Adventist Healthcare,6
2026-02,Walmart,5
2026-02,Earn Haus,5
2026-02,Soliant Health,4
2026-02,Postal Jobs Resource,4
2026-02,Opinionaura,4
2026-02,McDonald's Franchisee,4
2026-02,Maxion Research,4
2026-02,Leidos,4
2026-02,Home Depot,4
2026-02,CVS Health,4
2026-02,AdaptHealth LLC,4
2026-02,Actalent,4
2026-02,TravelNurseSource,3
2026-02,The Best Babysitters,3
2026-02,SCHUSTER CONCRETE READY MIX LLC,3
2026-02,One Day Roofing,3
