run_date,company,unique_jobs_found_today,places_verified,places_reason,places_address,places_place_id,sample_1_title,sample_1_link,sample_2_title,sample_2_link,sample_3_title,sample_3_link,md_entity_search_link
2026-07-28,Bradley Party and Variety,1,0,,,,Cashier/Sales Associate,https://www.indeed.com/viewjob?jk=2950b1a8d16ccd69,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,"Coakley & Williams Construction, LLC",1,0,,,,"Project Manager, Corporate Interiors Construction","https://www.ziprecruiter.com/c/Coakley-&-Williams-Construction/Job/Project-Manager,-Corporate-Interiors-Construction/-in-Bethesda,MD?jid=5baaee7eecddf4e2",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,Fetch & Favor,1,0,,,,Pet Sitter & Dog Walker,https://www.indeed.com/viewjob?jk=dbb4bc0031826a91,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,Fidelity Partners Services,1,0,,,,"Administrative Assistant III – Rockville, MD",https://www.linkedin.com/jobs/view/administrative-assistant-iii-%E2%80%93-rockville-md-at-fidelity-partners-services-4445426521,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,Grosberg Family Dental Care,1,0,,,,Full Time DA Position,https://www.indeed.com/viewjob?jk=9589508d4b0e176d,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,Hambleton Handyman,1,0,,,,Residential Craftsman | Company Vehicle • Benefits • Year-Round Work,https://www.indeed.com/viewjob?jk=0380ce8a84c311cb,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,Harvest Haulers,1,0,,,,Seasonal Porch Pumpkin Designer,https://www.indeed.com/viewjob?jk=41b62ad44802369b,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,"IPS-Integrated Project Services, LLC",1,0,,,,VDC Scanning Technician,https://www.monster.com/job-openings/vdc-scanning-technician-germantown-md--6d0e91ff-a007-4090-93e8-f71148373fb9,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,Monro,1,0,,,,Entry-Level Auto Service Technician - Tire & Lube,https://www.monster.com/job-openings/entry-level-auto-service-technician-tire-lube-rockville-md--ae840dd5-11da-48e3-9dbf-abb566aa7005,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,MyPlanAdvocate,1,0,,,,Medicare Sales Agent - Independent Contractor (1099) Opportunity,https://jobmesh.io/job/3aefbdc2-b831-4a6b-b237-b8927c7491a8,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,O'Leary Asphalt Inc.,2,0,,,,Lowboy Driver,https://www.indeed.com/viewjob?jk=013f4e33eeb90e9f,Lowboy Driver,https://www.indeed.com/viewjob?jk=6e3e522a03ca70fb,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,Payfuture Technologies,1,0,,,,"After-School Coach: Robotics, Coding & Arts",https://www.monster.com/job-openings/after-school-coach-robotics-coding-arts-rockville-md--f540e983-e808-45cd-9821-3851947fad7e,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,Simplify Compliance,1,0,,,,Hybrid Data Acquisition Analyst (Entry-Level),https://www.monster.com/job-openings/hybrid-data-acquisition-analyst-entry-level-rockville-md--604ce0e2-8277-4ff6-b8be-d5e4b94e9668,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,STGi,1,0,,,,Health Fitness Assistant Manager,https://www.linkedin.com/jobs/view/health-fitness-assistant-manager-at-stgi-4445750041,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-28,Trinity Health Mid-Atlantic,1,0,,,,Hospital Protection Officer - Flexible Shifts & Parking,https://www.monster.com/job-openings/hospital-protection-officer-flexible-shifts-parking-germantown-md--36705882-8e21-4f31-b2b2-ada93e334b79,,,,,https://egov.maryland.gov/businessexpress/entitysearch
