month,company,unique_job_postings_found
2026-09,Montgomery County Public Schools,218
2026-09,Target,50
2026-09,"Montgomery County Public Schools, Maryland",47
2026-09,U.S. Navy,41
2026-09,MedStar Health,38
2026-09,Encompass Health Rehabilitation Hospital of Northern Virginia,36
2026-09,Giant Food,31
2026-09,Maryland Professional Group,30
2026-09,Sunrise Senior Living,29
2026-09,Montgomery County (MD),28
2026-09,Walmart,25
2026-09,Trinity Health,22
2026-09,QuickMD,20
2026-09,Instacart Shoppers,20
2026-09,CVS Health,20
2026-09,Care.com,19
2026-09,AlliedTravelCareers,19
2026-09,Uber,18
2026-09,UPS,17
2026-09,"Thales Defense & Security, Inc.",17
2026-09,SAS Retail Services,17
2026-09,AstraZeneca,17
2026-09,Wegmans Food Markets,16
2026-09,Ulta Beauty,16
2026-09,Pizza Hut,15
2026-09,"Montgomery County, Maryland",15
2026-09,Lumelight,15
2026-09,Weis Markets,14
2026-09,US Postal Service,14
2026-09,Boston Medical Center,14
