run_date,company,unique_jobs_found_today,places_verified,places_reason,places_address,places_place_id,sample_1_title,sample_1_link,sample_2_title,sample_2_link,sample_3_title,sample_3_link,md_entity_search_link
2026-02-17,AAA Club Alliance,1,0,,,,Retail Sales Associate (In-Store Sales),https://www.indeed.com/viewjob?jk=6b16a7fc8e825871&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Addison Group,1,0,,,,Director of IT Applications,"https://www.ziprecruiter.com/c/Addison-Group/Job/Director-of-IT-Applications/-in-Silver-Spring,MD?jid=da96c433b353c240&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Agile Care Enterprises,1,0,,,,IT Service Desk Specialist Tier II,https://www.indeed.com/viewjob?jk=620a28f056e24bf5&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,American Logistics Authority,1,0,,,,"Remote Freight Dispatcher – Earn 2,000–3,000 Weekly | Work from the Philippines (Cordova)",https://us.bebee.com/job/afbee1c2f30800a3d4f5970891060600?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,AMN Healthcare Allied,1,0,,,,Computed Tomography Technologist - (CT Tech),https://www.linkedin.com/jobs/view/computed-tomography-technologist-ct-tech-at-amn-healthcare-allied-4373906291?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,"Augmentation, Inc.",1,0,,,,Production Assembler,https://www.indeed.com/viewjob?jk=58f43bfd46f7e48b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Avantor,1,0,,,,National Government Sales Director,https://www.indeed.com/viewjob?jk=4d56b737b6f7352e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Aya Healthcare,1,0,,,,"Travel Registered Respiratory Therapist (RRT) - $1,812 to $2,048 per week in Rockville, MD",https://www.monster.com/job-openings/travel-registered-respiratory-therapist-rrt-1-812-to-2-048-per-week-in-rockville-md-rockville-md--b1a304a8-9795-40c3-b89a-00430a6de2ed?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Capital Home Care,1,0,,,,CNA Opportunity in Montgomery County,https://www.jobilize.com/job/us-md-montgomery-village-cna-opportunity-capital-home-care-hiring?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,CDL A SENSE,1,0,,,,OTR CDL-A Truck Drivers Wanted: Competitive Pay and Benefits,https://jobs.stevenagefc.com/jobs/otr-cdl-a-truck-drivers-wanted-competitive-pay-and-benefits-germantown-maryland/2621645759-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Chick-fil-A at Research Row,1,0,,,,Delivery Driver - Now Hiring,https://www.snagajob.com/jobs/1227689707?searchResponseId=53fafab1-0109-4cfe-a26e-6eee4917bbb4&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,City of Takoma Park,1,0,,,,Crossing Guard,https://www.snagajob.com/jobs/857874138?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,"ComTech Systems, Inc.",1,0,,,,Sales Support Specialist,https://www.linkedin.com/jobs/view/sales-support-specialist-at-comtech-systems-inc-4371954792?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,"Conduent State Healthcare, LLC",1,0,,,,Senior Database Administration Analyst,https://careers.conduent.com/us/en/job/19864/Senior-Database-Administration-Analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Confidential,2,0,,,,"Quick Earnings: Earn At Least $2365 For Your First 186 Trips, Guaranteed.","https://www.ziprecruiter.com/c/Uber/Job/Quick-Earnings:-Earn-At-Least-$2435-For-Your-First-190-Trips,-Guaranteed./-in-Rockville,MD?jid=691e81c41e17ccb8&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",Drive with Uber - Earn at least $2365 in your first 186 trips with Uber.,"https://www.ziprecruiter.com/c/Uber/Job/Drive-with-Uber-Earn-at-least-$2435-in-your-first-190-trips-with-Uber./-in-Gaithersburg,MD?jid=9181d27173ee76fc&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,"CoreSphere, LLC",1,0,,,,Project Manager - Sr.,https://www.indeed.com/viewjob?jk=071da8f8e8578840&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Crete Carrier Corporation,2,0,,,,"12 Days Out CDL A Driver Job -Top 50% average $89,142/ $.59 to $.62 cpm",https://www.linkedin.com/jobs/view/12-days-out-cdl-a-driver-job-top-50%25-average-%2489-142-%24-59-to-%24-62-cpm-at-crete-carrier-corporation-4372544876?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"CDL A Drivers Earn $.56 to $.59 CPM Delivering Big, Bulky Loads",https://www.linkedin.com/jobs/view/cdl-a-drivers-earn-%24-56-to-%24-59-cpm-delivering-big-bulky-loads-at-crete-carrier-corporation-4372553783?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,CRG,1,0,,,,AV Event Producer,https://www.linkedin.com/jobs/view/av-event-producer-at-crg-4372803007?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Diaz Stone & Pallet Inc.,1,0,,,,"Class A Company Driver, OTR, Dry Van",https://www.adzuna.com/details/5632483872?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,gategroup,1,0,,,,"Specialist, Accounts Payable",https://jobs.womenforhire.com/job/usa/bethesda-md/specialist-accounts-payable-892948/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,General Dynamics,1,0,,,,"IT Infrastructure Engineering Task Lead job at General Dynamics in Rockville, MD, Washington, DC",https://remote.co/job-details/it-infrastructure-engineering-task-lead-056eb4ba-6e4a-4f28-a01b-fc09bc6736a7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,GLC Group,1,0,,,,IDCU Pharmacy Technicians,https://www.simplyhired.com/job/7ovpUI_LBBf-ZmTCIoJ0qBgR6WyhWiiDLm6wq7Y_DSgQyyOyvo73kg?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Guidehouse,1,0,,,,Program Administration Specialist - Privacy,"https://www.ziprecruiter.com/c/Guidehouse/Job/Program-Administration-Specialist-Privacy/-in-Bethesda,MD?jid=b2ddaaafce493329&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Helping Hands Family - Autism Services,1,0,,,,Parntership Liaison,https://www.linkedin.com/jobs/view/parntership-liaison-at-helping-hands-family-autism-services-4372553920?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,Hirschbach Motor Lines,1,0,,,,CDL A Dedicated Truck Drivers - Now Hiring,https://www.snagajob.com/jobs/1207719803?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-02-17,JMS Talent Partners,1,0,,,,Full Stack Engineer,https://www.linkedin.com/jobs/view/full-stack-engineer-at-jms-talent-partners-4364785933?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
