run_date,company,unique_jobs_found_today,places_verified,places_reason,places_address,places_place_id,sample_1_title,sample_1_link,sample_2_title,sample_2_link,sample_3_title,sample_3_link,md_entity_search_link
2026-08-09,Ahold Delhaize,1,0,,,,Manager Store Store Admin 0354 (Trainee),https://us.jobrapido.com/jobpreview/4579790128850927616,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,Archdiocese of Washington,1,0,,,,4th Grade Teacher - St. Elizabeth School - Rockville Maryland,https://www.adzuna.com/details/5834550948,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,Christian Sky Agency,2,0,,,,Entry Level Sales Representative - Remote,https://www.recruit.net/job/sales-representative-jobs/B491BAF7DC9634FD,Entry Level Sales Representative - Remote,https://www.recruit.net/job/sales-representative-jobs/692AFD6A6521ED8D,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,COMMUNITY PHARMACY,1,0,,,,"Staffing Coordinator, Administrative​/Clerical",https://www.learn4good.com/jobs/montgomery-village/maryland/administrative/5352033883/e/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,Experio AI,1,0,,,,"First Product Hire (Founding PM, CPO trajectory)",https://www.linkedin.com/jobs/view/first-product-hire-founding-pm-cpo-trajectory-at-experio-ai-4451303869,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,Higdon Growth Co.,1,0,,,,Student Support Specialist,https://www.indeed.com/viewjob?jk=e25b118b264ab71b,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,KnitWell Group,1,0,,,,Store Manager: Elevate Customer Experience & Team Growth,https://bebee.com/us/jobs/store-manager-elevate-customer-experience-team-growth-knitwell-group-gaithersburg--lensa-7428_09be1ca8fcc4fbe0ff6a412477e5920af86678f24f195e0929ed5ecd03ec17dd,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,RB Global Inc.,1,0,,,,Auction Yard Technician — Equipment Prep & Display (Part-Time,https://www.learn4good.com/jobs/silver-spring/maryland/maintenance/5352452380/e/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,Signature HealthCARE of Terre Haute,1,0,,,,"Registered Nurse (RN) - Work in Terre Haute, IN",https://jobmesh.io/job/7502deba-868d-481a-984f-e71a9ab45ff5,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,Star Dental Partners,1,0,,,,Dental Front Desk Coordinator,https://stardentalpartners.com/gfj/dental-front-desk-coordinator-rockville-md-6a44c8c59299180402378814,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,Taco Bell-Williamsburg,3,0,,,,Crew Member - Urgently Hiring,https://jobmesh.io/job/48e8f441-51cf-480c-b008-aaa46f924bb6,Restaurant Staff - Urgently Hiring,https://jobmesh.io/job/a29018c6-e020-4c2e-8813-fc62032b785e,Restaurant Cook - Urgently Hiring,https://jobmesh.io/job/d36031bd-79dc-47ce-88c2-70975852485f,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,Ulta,1,0,,,,"Lead Cashier, Retail",https://www.learn4good.com/jobs/germantown/maryland/retail/5351404288/e/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,Ymcadc,1,0,,,,Senior Summer Camp Counselor,https://bebee.com/us/jobs/senior-summer-camp-counselor-ymcadc-silver-spring--lensa-7428_3d93cdf9d3e14608db0a0946e945ceac79101ef6846dacad96cb48858070fd59,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-08-09,Your Wireless,1,0,,,,Retail Sales Associate Job at Your Wireless in Gaithersburg,https://www.recruit.net/job/retail-sales-associate-at-wireless-jobs/37387D4BA6FF1094,,,,,https://egov.maryland.gov/businessexpress/entitysearch
