run_date,company,unique_jobs_found_today,places_verified,places_reason,places_address,places_place_id,sample_1_title,sample_1_link,sample_2_title,sample_2_link,sample_3_title,sample_3_link,md_entity_search_link
2026-09-09,Abbott,1,0,,,,"Pediatric Sales Specialist - Montgomery County, MD",https://www.monster.com/job-openings/pediatric-sales-specialist-montgomery-county-md-bethesda-md--94ea73e5-a847-44aa-80af-ce937dcb60cd?mstr_dist=true&trk=bingjobs,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-09-09,Advantia Health,1,0,,,,Maternal Fetal Medicine Physician,https://www.careerbuilder.com/job-details/maternal-fetal-medicine-physician-burtonsville-md--5904ec06-3ec4-40e9-a0d2-64b17fdcf13d?trk=bingjobs,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-09-09,Autumn Lake Healthcare,1,0,,,,Geriatric Nurse Assistant (GNA),https://www.linkedin.com/jobs/view/geriatric-nurse-assistant-gna-at-autumn-lake-healthcare-4462983543?trk=bingjobs,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-09-09,BDO USA PC,1,0,,,,"Experienced Associate, Industry Specialty Services",https://www.careerbuilder.com/job-details/experienced-associate-industry-specialty-services-potomac-md--015b7143-f131-4e98-9a3b-c050b3f10822?trk=bingjobs,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-09-09,Brandon Bystol,1,0,,,,Licensed Sales Professional,https://www.careerbuilder.com/job-details/licensed-sales-professional-germantown-md--4b4e0f21-8539-43bb-b728-384eb617c7e4?trk=bingjobs,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-09-09,"Casaplex, LLC",1,0,,,,Sales Representative,https://www.careerbuilder.com/job-details/sales-representative-kensington-md--3d907343-aa66-41e6-99c4-9b88d2671f2f?trk=bingjobs,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-09-09,Chopt,1,0,,,,Dishwasher,https://www.careerbuilder.com/job-details/dishwasher-gaithersburg-md--e81c270d-a069-4bc6-aa08-2c671f1e3215?trk=bingjobs,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-09-09,Concentric Healthcare Staffing,1,0,,,,"Travel Physical Therapist (PT) In Ashton-Sandy Spring, MD",https://www.careerbuilder.com/job-details/travel-physical-therapist-pt-in-ashton-sandy-spring-md-sandy-spring-md--9d187581-3cef-41d9-a8bd-a4549b69861a?trk=bingjobs,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-09-09,Encompass Health,2,0,,,,Physical Therapist,https://www.careerbuilder.com/job-details/physical-therapist-potomac-md--e0247c76-835d-4fbd-a304-cc3870e59731?trk=bingjobs,Speech Pathologist,https://www.careerbuilder.com/job-details/speech-pathologist-damascus-md--2f3c99f0-5ffc-4e6e-b132-68e5907658a0?trk=bingjobs,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-09-09,Fiber Staffing,1,0,,,,"Travel Certified Occupational Therapist Assistant (COTA) In Kensington, MD",https://www.careerbuilder.com/job-details/travel-certified-occupational-therapist-assistant-cota-in-kensington-md-kensington-md--1aacbed7-5ce8-4d5f-b46b-5ff1fa1bf2ac?trk=bingjobs,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-09-09,Heartland Hospice,1,0,,,,Hospice Care Consultant,https://www.careerbuilder.com/job-details/hospice-care-consultant-kensington-md--32db607e-e448-4ea7-8b95-48e33c961899?trk=bingjobs,,,,,https://egov.maryland.gov/businessexpress/entitysearch
