month,company,unique_job_postings_found
2026-01,Pizza Hut,8
2026-01,Wyndy.com,6
2026-01,Montgomery County Public Schools,3
2026-01,Uber,2
2026-01,Sunrise Senior Living,2
2026-01,Montgomery County Government,2
2026-01,"GetWellNetwork, Inc.",2
2026-01,DoorDash,2
2026-01,CVS Health,2
2026-01,Wonder Works Construction Corp.,1
2026-01,Wegmans Food Markets,1
2026-01,Washington Radiology,1
2026-01,Volarify,1
2026-01,VetJobs,1
2026-01,United Therapeutics Corporation,1
2026-01,US Sports Camps,1
2026-01,U.S. Dermatology Partners,1
2026-01,U.S. Department of Defense,1
2026-01,The Rockville Hotel a Ramada by Wyndam,1
2026-01,The Greene Turtle,1
2026-01,The George Washington University Hospital,1
2026-01,TalentGlide,1
2026-01,"T-Mobile USA, Inc.",1
2026-01,Starbucks,1
2026-01,Spectrum Healthcare Resources,1
2026-01,Sittercity.com,1
2026-01,Rowan,1
2026-01,Robert Half,1
2026-01,RP3 Agency,1
2026-01,Potomac,1
