run_date,company,unique_jobs_found_today,places_verified,places_reason,places_address,places_place_id,sample_1_title,sample_1_link,sample_2_title,sample_2_link,sample_3_title,sample_3_link,md_entity_search_link
2026-04-08,"ACM Services, Inc.",1,0,,,,Small Engine Mechanic,https://www.indeed.com/viewjob?jk=c66826d971fcdd67,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,APEX IT Services,1,0,,,,"Release Manager - Remote Bethesda, MD (Weekly 3 Days onsite)",https://www.dice.com/job-detail/ab8fd5e9-f19a-4f98-bd24-9665b38a7f56?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Applied Chemicals and Materials Division,1,0,,,,Administrative Support Assistant (OA),https://www.usajobs.gov/job/864289000,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Blaine Restoration LLC,1,0,,,,Outside Sales,"https://www.ziprecruiter.com/c/Blaine-Restoration/Job/Outside-Sales/-in-Silver-Spring,MD?jid=0847706f86ba7734&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Career Strategies - Alexandria,1,0,,,,Apartment Leasing Agent,"https://www.ziprecruiter.com/c/Career-Strategies-Alexandria/Job/Apartment-Leasing-Agent/-in-Gaithersburg,MD?jid=b22fccdbd64a07fd",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Cherished Hands Healthcare Services,1,0,,,,Residential Direct Support Professional,"https://www.ziprecruiter.com/c/Cherished-Hands-Healthcare-Services/Job/Residential-Direct-Support-Professional/-in-Rockville,MD?jid=0eb790dbc65d6d01",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Children's Milestone,1,0,,,,Hybrid BCBA – Small Caseload (Evening Hours),https://www.indeed.com/viewjob?jk=a91f2720dcca60ee&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Comagine Health,1,0,,,,Home and Community-Based Services Assessor (SE NM),https://jobs.womenforhire.com/job/usa/bethesda-md/home-and-community-based-services-assessor-se-nm-151747/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,FedEx Ground,1,0,,,,Class A Drivers! FEDEX (PM Shift) $240.00 DAILY. DEDICATED ROUTE,https://www.indeed.com/viewjob?jk=c3f4fc99d9d614b7,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,GoTu,1,0,,,,Licensed Associate Dentist,https://www.indeed.com/viewjob?jk=d9a99f3ce22f241a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Health Resources and Services Administration,1,0,,,,Program Analyst (Senior Advisor),https://www.usajobs.gov/job/864231600,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Hebrew Public,1,0,,,,Consultant Opportunity: Community Organizer & Strategic Advisor,https://www.linkedin.com/jobs/view/consultant-opportunity-community-organizer-strategic-advisor-at-hebrew-public-4398475866,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Hobby Lobby,1,0,,,,Retail Associate/Cashier - Hobby Lobby $18-$22/hr,https://www.talent.com/view?id=614130744003469104&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Homeaglow,1,0,,,,Cleaner - PT,https://www.learn4good.com/jobs/germantown/maryland/maintenance/5001535123/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Lovesac Company,1,0,,,,PT Sales Associate,https://www.indeed.com/viewjob?jk=4e234d538209c76a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Next Travel Nursing,1,0,,,,Cardiovascular (CVOR) Travel Surgical Technologist,https://www.indeed.com/viewjob?jk=902724acd533493e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Revive Family Dental,1,0,,,,Dental Receptionist,https://www.indeed.com/viewjob?jk=0838a185075b7f04&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,SAIC,1,0,,,,Program Management Office Analyst,https://jobs.saic.com/jobs/17593491-program-management-office-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-04-08,Senan Group LLC,1,0,,,,Refuse and Recycling Laborer,https://www.indeed.com/viewjob?jk=658ddcb7fc2ffb45,,,,,https://egov.maryland.gov/businessexpress/entitysearch
