run_date,company,job_title,job_city,job_state,job_posted_at,publisher,employment_type,salary,apply_link,search_query
2026-09-12,Kensington Senior Living,Registered Nurse (RN),Kensington,Maryland,2026-09-10T08:39:23.000Z,ZipRecruiter,Full-time,,"https://www.ziprecruiter.com/c/Kensington-Senior-Living,-LLC/Job/Registered-Nurse-(RN)/-in-Kensington,MD?jid=d1ecee19819d6fdd&trk=bingjobs","jobs in Kensington, MD"
2026-09-12,AlliedTravelCareers,"Travel Certified Occupational Therapist Assistant (COTA) - $1,394 To $1,437 Per Week In Ashton-Sandy Spring, MD",Ashton-Sandy Spring,Maryland,2026-09-10T00:00:00.000Z,CareerBuilder,Full-time,,https://www.careerbuilder.com/job-details/travel-certified-occupational-therapist-assistant-cota-1-394-to-1-437-per-week-in-ashton-sandy-spring-md-sandy-spring-md--dfb3a7de-7e2e-4e1a-a30a-3b52b50e5892?trk=bingjobs,"jobs in Burtonsville, MD"
2026-09-12,CVS Health,Shift Supervisor,Burtonsville,Maryland,2026-09-09T11:28:35.000Z,ZipRecruiter,Part-time,,"https://www.ziprecruiter.com/c/CVS/Job/Shift-Supervisor/-in-Burtonsville,MD?jid=4c150401a6dab1be&trk=bingjobs","jobs in Burtonsville, MD"
2026-09-12,Bright Eyes Early Learning Centers,Infant Lead Teacher - PM Shift,Damascus,Maryland,2026-09-09T10:23:28.000Z,ZipRecruiter,Part-time,,"https://www.ziprecruiter.com/c/bright-eyes-early-learning-centers/Job/Infant-Lead-Teacher-PM-Shift/-in-Damascus,MD?jid=2fef495b8a906eae&trk=bingjobs","jobs in Damascus, MD"
2026-09-12,"Healthcare Services Group, Inc.",Cook,Kensington,Maryland,2026-09-09T10:11:27.000Z,ZipRecruiter,Part-time,,"https://www.ziprecruiter.com/c/Healthcare-Services-Group,-Inc./Job/Cook/-in-Kensington,MD?jid=a7a7e31976371a88&trk=bingjobs","jobs in Kensington, MD"
2026-09-12,Montgomery County Public Schools,"FY27: Cafeteria Worker, 4Hrs/10Mos, Joann Leleck ES, Ad Extended Until 09/15/26",Rockville,Maryland,2026-09-09T10:08:42.000Z,ZipRecruiter,Full-time,,"https://www.ziprecruiter.com/c/montgomery-county-public-schools/Job/FY27:-Cafeteria-Worker,-4hrs-10mos,-JoAnn-Leleck-ES,-Ad-extended-until-09-15-26/-in-Rockville,MD?jid=da0598f2dec71c4e&trk=bingjobs","jobs in Montgomery County, MD"
2026-09-12,Close Knit,"Family/ Internal Medicine Physician Needed In Bethesda, MD",Bethesda,Maryland,2026-09-09T03:39:23.000Z,ZipRecruiter,Full-time,,"https://www.ziprecruiter.com/c/CloseKnit/Job/Family-Internal-Medicine-Physician-needed-in-North-Bethesda,-MD/-in-Bethesda,MD?jid=0f95d3bcdfb2625e&trk=bingjobs","jobs in Kensington, MD"
2026-09-12,AutoZone,Commercial Driver – Part Time,Damascus,Maryland,2026-09-09T02:44:18.000Z,LinkedIn,Part-time,,https://www.linkedin.com/jobs/view/commercial-driver-%E2%80%93-part-time-at-autozone-4463592415?trk=bingjobs,"jobs in Damascus, MD"
2026-09-12,AllCare Primary & Immediate Care Clinics,"Family/ Internal Medicine Physician Needed In Bethesda, MD",Bethesda,Maryland,2026-09-09T00:00:00.000Z,ZipRecruiter,Full-time,,"https://www.ziprecruiter.com/c/AllCare-Primary-&-Immediate-Care-Clinics/Job/Family-Internal-Medicine-Physician-needed-in-North-Bethesda,-MD/-in-Bethesda,MD?jid=1cc9020adf20de7a&trk=bingjobs","jobs in Kensington, MD"
2026-09-12,Montgomery County Public Schools,"FY27: Long-Term Substitute, Counseling (EML) .5 .2 Special Programs, Damascus HS, PT",Damascus,Maryland,2026-09-08T17:00:00.000Z,ZipRecruiter,Part-time,,"https://www.ziprecruiter.com/c/montgomery-county-public-schools/Job/FY27:-Long-Term-Substitute,-Counseling-(EML)-.5-.2-special-programs,-Damascus-HS,-PT/-in-Damascus,MD?jid=c9c2fc80988a1465&trk=bingjobs","jobs in Damascus, MD"
2026-09-12,Montgomery County Public Schools,"FY27: Paraeducator Level II, Special Education Itinerant, Lois P. Rockwell ES, 6Hrs/10Mo, Ad Extende",Damascus,Maryland,2026-09-08T17:00:00.000Z,ZipRecruiter,Full-time,,"https://www.ziprecruiter.com/c/montgomery-county-public-schools/Job/FY27:-Paraeducator-Level-II,-Special-Education-Itinerant,-Lois-P.-Rockwell-ES,-6hrs-10mo,-Ad-Extende/-in-Damascus,MD?jid=99b46dac1559535d&trk=bingjobs","jobs in Damascus, MD"
2026-09-12,Roy Rogers Restaurants,"Assistant Restaurant Manager (Burtonsville, MD)",Burtonsville,Maryland,2026-09-08T17:00:00.000Z,ZipRecruiter,Full-time,,"https://www.ziprecruiter.com/c/Roy-Rogers-Restaurants/Job/Assistant-Restaurant-Manager-(Burtonsville,-MD)/-in-Burtonsville,MD?jid=08bb6bb6823ffc5c&trk=bingjobs","jobs in Burtonsville, MD"
2026-09-12,Vensure Employer Solutions,"Landscaping Crew Supervisor - Kensington & Rockville, MD",Kensington,Maryland,2026-09-08T12:52:13.000Z,ZipRecruiter,Full-time,,"https://www.ziprecruiter.com/c/vensurehr/Job/Landscaping-Crew-Supervisor-Kensington-&-Rockville,-MD/-in-Kensington,MD?jid=c2261affed4459d3&trk=bingjobs","jobs in Kensington, MD"
2026-09-12,"Casaplex, LLC",Client Experience Specialist,Kensington,Maryland,2026-09-08T00:00:00.000Z,Monster,,,https://www.monster.com/job-openings/client-experience-specialist-kensington-md--e374bb37-4a73-4d76-9951-2b1196808e9e?mstr_dist=true&trk=bingjobs,"jobs in Kensington, MD"
2026-09-12,QuickMD,Online Physician,Takoma Park,Maryland,2026-09-08T00:00:00.000Z,Monster,Contract,,https://www.monster.com/job-openings/online-physician-takoma-park-md--f3c84c32-f042-4009-bde0-2e011af58251?mstr_dist=true&trk=bingjobs,"jobs in Takoma Park, MD"
2026-09-12,QuickMD,Telehealth Physician,South Kensington,Maryland,2026-09-08T00:00:00.000Z,Monster,Contract,,https://www.monster.com/job-openings/telehealth-physician-kensington-md--d2349f51-3f08-4a71-a8e3-fdcbe1354de3?mstr_dist=true&trk=bingjobs,"jobs in Kensington, MD"
2026-09-12,QuickMD,Telehealth Physician,Takoma Park,Maryland,2026-09-08T00:00:00.000Z,Monster,Contract,,https://www.monster.com/job-openings/telehealth-physician-takoma-park-md--1cc0cefa-00b3-40a5-b83e-22f9df557d3e?mstr_dist=true&trk=bingjobs,"jobs in Takoma Park, MD"
2026-09-12,The Learning Experience,Preschool Center Director,Montgomery Village,Maryland,2026-09-08T00:00:00.000Z,CareerBuilder,Full-time,,https://www.careerbuilder.com/job-details/preschool-center-director-montgomery-village-md--a431cccf-1bf4-432b-b88c-16552dac6759?trk=bingjobs,"jobs in Montgomery County, MD"
2026-09-12,U.S. Navy,Advanced Electronics,Kensington,Maryland,2026-09-08T00:00:00.000Z,CareerBuilder,,,https://www.careerbuilder.com/job-details/advanced-electronics-kensington-md--11ef7464-df5c-4e0a-9f6a-cbe4238bb9c3?trk=bingjobs,"jobs in Kensington, MD"
2026-09-12,U.S. Navy,Aviation Electronics Technician,Kensington,Maryland,2026-09-08T00:00:00.000Z,CareerBuilder,Volunteer,,https://www.careerbuilder.com/job-details/aviation-electronics-technician-kensington-md--aa6538e3-26aa-4503-9464-da18272ccc41?trk=bingjobs,"jobs in Kensington, MD"
2026-09-12,U.S. Navy,"Aviation Electronics, Electrical & Computer Systems Technician",Takoma Park,Maryland,2026-09-08T00:00:00.000Z,CareerBuilder,Volunteer,,https://www.careerbuilder.com/job-details/aviation-electronics-electrical-computer-systems-technician-takoma-park-md--e23b686a-b7fb-458e-88a6-caa683c2f05c?trk=bingjobs,"jobs in Takoma Park, MD"
