month,company,unique_job_postings_found
2026-05,Amazon,121
2026-05,Montgomery County Public Schools,87
2026-05,Walmart,32
2026-05,Montgomery County Government,19
2026-05,Adventist HealthCare,19
2026-05,Walmart Retail,18
2026-05,Five Below,18
2026-05,Trinity Health,17
2026-05,Opinionaura,17
2026-05,OpinionAura,15
2026-05,Sunrise Senior Living,14
2026-05,Giant Food,14
2026-05,Care.com,13
2026-05,Apex Focus Group,13
2026-05,Maxion,12
2026-05,Starbucks,11
2026-05,Sittercity.com,11
2026-05,MedStar Health,11
2026-05,Leidos,11
2026-05,Coca Cola,11
2026-05,Clerk Crew,11
2026-05,Earn Haus,10
2026-05,DoorDash,10
2026-05,Montgomery College,9
2026-05,"Marriott International, Inc",9
2026-05,Marriott,9
2026-05,365Taskers,9
2026-05,Wegmans,8
2026-05,Sodexo,8
2026-05,PetSmart,8
