run_date,company,unique_jobs_found_today,places_verified,places_reason,places_address,places_place_id,sample_1_title,sample_1_link,sample_2_title,sample_2_link,sample_3_title,sample_3_link,md_entity_search_link
2026-06-08,American College of Dentists,1,0,,,,Program Assistant,https://jobs.marylandnonprofits.org/job/program-assistant-rockville-maryland-8839,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,AMN Healthcare Revenue Cycle,1,0,,,,"Travel Utilization Review - $2,250 per week",https://jobs.womenforhire.com/job/usa/silver-spring-md/travel-utilization-review-2-250-per-week-187902/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,Bibibop,1,0,,,,BIBIBOP Operations Leader - Pike & Rose,https://www.monster.com/job-openings/bibibop-operations-leader-pike-rose-rockville-md--30650660-ba67-46d5-8aaf-b72a86c678e8,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,bio/synergy Health + Wellness,2,0,,,,Registered Nurse - Intravenous (IV) Infusion - Part Time (PT),https://www.indeed.com/viewjob?jk=8c7f7ca411c7037b,Synergy Specialist - Part Time (PT),https://www.indeed.com/viewjob?jk=a828e23fab424218,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,Citi,1,0,,,,Part Time Universal Banker (20 Hours)- Silver Springs Branch,https://www.linkedin.com/jobs/view/part-time-universal-banker-20-hours-silver-springs-branch-at-citi-4425270683,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,DigiTran Technologies Inc.,1,0,,,,Atlassian/ Jira consultant,https://www.linkedin.com/jobs/view/atlassian-jira-consultant-at-digitran-technologies-inc-4420746903,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,EVG Specialty Network,1,0,,,,Administrative & Logistics Coordinator,https://www.indeed.com/viewjob?jk=0d64f66b9aacebfb,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,FDA/CDRH/OSEL/DBP,1,0,,,,Researcher,https://www.linkedin.com/jobs/view/researcher-at-fda-cdrh-osel-dbp-4425618892,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,Fish Taco,1,0,,,,Front of House Manager,https://www.indeed.com/viewjob?jk=e56653e2ad1b32a9,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,Home Helpers,1,0,,,,Caregiver (full-time and part-time),https://www.monster.com/job-openings/caregiver-full-time-and-part-time-gaithersburg-md--44a234bd-7bd5-4672-8a9e-b41a4af922e9,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,"Horizon Health Services, Inc.",1,0,,,,Hiring CNAs & Home Health Aides – Montgomery County,https://www.indeed.com/viewjob?jk=aa03504b0a2ccba3,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,Infojini Healthcare,1,0,,,,"AUTO OFFER: IR Tech - Rockville, MD | Up to $3,750 weekly",https://www.linkedin.com/jobs/view/auto-offer-ir-tech-rockville-md-up-to-%243-750-weekly-at-infojini-healthcare-4425634351,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,Lap of Love Veterinary Hospice,1,0,,,,Part Time Associate Veterinarian,https://www.linkedin.com/jobs/view/part-time-associate-veterinarian-at-lap-of-love-veterinary-hospice-4425495653,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,"Linden Lake Labs, Inc.",1,0,,,,Strategy and Innovation Intern,https://www.linkedin.com/jobs/view/strategy-and-innovation-intern-at-linden-lake-labs-inc-4425913987,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,MileOne,1,0,,,,"Volvo Technician Up to $8,000 Hiring Bonus!",https://www.monster.com/job-openings/volvo-technician-up-to-8-000-hiring-bonus-silver-spring-md--a5c4573a-8df5-4897-b329-2bbec4aeb4a2,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,New York Life,1,0,,,,Entry Level Financial Services Professional/Advisor,https://www.linkedin.com/jobs/view/entry-level-financial-services-professional-advisor-at-new-york-life-4425260630,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,Prolific Academic Ltd,1,0,,,,"AI Training Experts - Maryland, US",https://www.monster.com/job-openings/ai-training-experts-maryland-us-germantown-md--4da1fb45-adaf-4b2f-b957-756f25ae4472,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,Roman Catholic Archdiocese of Washington,1,0,,,,Elementary School Teacher - St. Elizabeth School - Rockville Maryland,https://www.linkedin.com/jobs/view/elementary-school-teacher-st-elizabeth-school-rockville-maryland-at-roman-catholic-archdiocese-of-washington-4425483163,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-06-08,Scenthound,1,0,,,,Dog Bather / Technician (Dog Wellness Center),https://www.indeed.com/viewjob?jk=40af4ba49c1d06ad,,,,,https://egov.maryland.gov/businessexpress/entitysearch
