run_date,company,job_title,job_city,job_state,job_posted_at,publisher,employment_type,salary,apply_link,search_query
2026-09-14,Cole Haan,Assistant Store Manager,Clarksburg,Maryland,2026-09-10T11:54:30.000Z,LinkedIn,Full-time,,https://www.linkedin.com/jobs/view/assistant-store-manager-at-cole-haan-4438122360?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,Abercrombie & Fitch Co.,"Brand Representative - Clarksburg Premium Outlets, Hollister",Clarksburg,Maryland,2026-09-10T11:52:18.000Z,LinkedIn,Full-time,,https://www.linkedin.com/jobs/view/brand-representative-clarksburg-premium-outlets-hollister-at-abercrombie-fitch-co-4407798175?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,Steve Madden,Part-Time Sales Supervisor,Clarksburg,Maryland,2026-09-10T11:47:07.000Z,LinkedIn,Part-time,,https://www.linkedin.com/jobs/view/part-time-sales-supervisor-at-steve-madden-4446764067?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,Forterra,Product Manager,Clarksburg,Maryland,2026-09-10T11:14:53.000Z,LinkedIn,Full-time,,https://www.linkedin.com/jobs/view/product-manager-at-forterra-4464573805?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,EXPRESS,Sales Associate,Clarksburg,Maryland,2026-09-10T09:59:22.000Z,LinkedIn,Full-time,,https://www.linkedin.com/jobs/view/sales-associate-at-express-4307674321?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,Legend Management Group,Leasing Consultant,Clarksburg,Maryland,2026-09-10T09:34:29.000Z,LinkedIn,Full-time,,https://www.linkedin.com/jobs/view/leasing-consultant-at-legend-management-group-4459066211?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,Bethesda,SALES ASSOCIATE - SHOES (PART TIME),Bethesda,Maryland,2026-09-10T08:59:59.000Z,ZipRecruiter,Part-time,,"https://www.ziprecruiter.com/c/Bethesda/Job/SALES-ASSOCIATE-SHOES-(PART-TIME)/-in-Bethesda,MD?jid=77c942e71b1fd6bd&trk=bingjobs","jobs in North Bethesda, MD"
2026-09-14,Coach,Assistant Store Manager I,Clarksburg,Maryland,2026-09-10T07:12:21.000Z,LinkedIn,Full-time,,https://www.linkedin.com/jobs/view/assistant-store-manager-i-at-coach-4453495499?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,Forterra,Sustainment Logistics Lead,Clarksburg,Maryland,2026-09-10T06:56:13.000Z,LinkedIn,Full-time,,https://www.linkedin.com/jobs/view/sustainment-logistics-lead-at-forterra-4455427808?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,Forterra,Manufacturing Inspection Technician,Clarksburg,Maryland,2026-09-10T06:53:44.000Z,LinkedIn,Full-time,,https://www.linkedin.com/jobs/view/manufacturing-inspection-technician-at-forterra-4444185848?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,Coach,Sales Support Associate III,Clarksburg,Maryland,2026-09-10T06:48:39.000Z,LinkedIn,Part-time,,https://www.linkedin.com/jobs/view/sales-support-associate-iii-at-coach-4453495495?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,Spirit Halloween,Assistant Store Manager - Spirit,Clarksburg,Maryland,2026-09-10T06:35:41.000Z,LinkedIn,Temporary,,https://www.linkedin.com/jobs/view/assistant-store-manager-spirit-at-spirit-halloween-4419816492?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,Actalent,Manufacturing Mechanical Engineer,Clarksburg,Maryland,2026-09-10T00:50:02.000Z,LinkedIn,Contract,,https://www.linkedin.com/jobs/view/manufacturing-mechanical-engineer-at-actalent-4465624860?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,LRS Healthcare,"Travel Interventional Radiology (IR) - $2,363 To $2,620 Per Week In Olney, MD",Olney,Maryland,2026-09-10T00:00:00.000Z,CareerBuilder,Full-time,,https://www.careerbuilder.com/job-details/travel-interventional-radiology-ir-2-363-to-2-620-per-week-in-olney-md-olney-md--78f47281-3c21-4626-8342-f571627a6c52?trk=bingjobs,"jobs in Wheaton, MD"
2026-09-14,National Staffing Solutions,"Travel Physical Therapist (PT) - $1,715 To $1,981 Per Week In Sandy Spring, MD",Sandy Spring Meadow,Maryland,2026-09-10T00:00:00.000Z,CareerBuilder,Full-time,,https://www.careerbuilder.com/job-details/travel-physical-therapist-pt-1-715-to-1-981-per-week-in-sandy-spring-md-sandy-spring-md--e7e97cd4-90a7-4699-965b-a21dfced2464?trk=bingjobs,"jobs in Wheaton, MD"
2026-09-14,TORY BURCH,PT Sales Associate-1,Clarksburg,Maryland,2026-09-09T20:42:00.000Z,ZipRecruiter,Part-time,,"https://www.ziprecruiter.com/c/tory-burch/Job/PT-Sales-Associate-1/-in-Clarksburg,MD?jid=bdbe62eb47fc26a3&trk=bingjobs","jobs in Clarksburg, MD"
2026-09-14,Allied Universal,Security Officer Unarmed Patrol Shopping Mall,Wheaton,Maryland,2026-09-09T19:04:45.000Z,ZipRecruiter,Full-time,,"https://www.ziprecruiter.com/c/allied-universal/Job/Security-Officer-Unarmed-Patrol-Shopping-Mall/-in-Silver-Spring,MD?jid=73a6167e377028fb&trk=bingjobs","jobs in Wheaton, MD"
2026-09-14,H&R Block,Block Advisor Tax Advisor,Montgomery Village,Maryland,2026-09-09T19:00:14.000Z,LinkedIn,Full-time,,https://www.linkedin.com/jobs/view/block-advisor-tax-advisor-at-h-r-block-4465397224?trk=bingjobs,"jobs in Montgomery Village, MD"
2026-09-14,Aston Carter,Logistics Clerk,Clarksburg,Maryland,2026-09-09T18:50:05.000Z,LinkedIn,Contract,,https://www.linkedin.com/jobs/view/logistics-clerk-at-aston-carter-4465387131?trk=bingjobs,"jobs in Clarksburg, MD"
2026-09-14,Kelly,Administrative Assistant,Olney,Maryland,2026-09-09T18:20:09.000Z,LinkedIn,Full-time,,https://www.linkedin.com/jobs/view/administrative-assistant-at-kelly-4465368796?trk=bingjobs,"jobs in Olney, MD"
2026-09-14,Contemporaries,Administrative Assistant III,Bethesda,Maryland,2026-09-09T13:37:36.000Z,ZipRecruiter,Contract,,"https://www.ziprecruiter.com/c/contemporaries/Job/Administrative-Assistant-III/-in-Bethesda,MD?jid=b1ca151dd9f6d780&trk=bingjobs","jobs in North Bethesda, MD"
2026-09-14,Kensington Senior Living,Memory Care - Care Partner (CNA),Bethesda,Maryland,2026-09-09T13:31:15.000Z,ZipRecruiter,Full-time,,"https://www.ziprecruiter.com/c/kensington-senior-living/Job/Memory-Care-Care-Partner-(CNA)/-in-Bethesda,MD?jid=2d8515306e8caf7d&trk=bingjobs","jobs in North Bethesda, MD"
