run_date,company,unique_jobs_found_today,places_verified,places_reason,places_address,places_place_id,sample_1_title,sample_1_link,sample_2_title,sample_2_link,sample_3_title,sample_3_link,md_entity_search_link
2026-05-02,3:15,1,0,,,,Registered Nurse – Nurse Educator - Bleeding Disorders,https://www.theladders.com/job/registered-nurse-nurse-educator-bleeding-disorders-cvshealth-gaithersburg-md_86752282,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Arcetyp LLC,1,0,,,,GovCon Human Resources Generalist On Site/Off Site in Bethesda MD,https://www.indeed.com/viewjob?jk=1ef23c8ad01d8eba,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,BocaBella,1,0,,,,Inside Sales Representative – Dental/Medical Device,https://jobs.stevenagefc.com/jobs/inside-sales-representative-dental-medical-device-rockville-maryland/2752077998-2/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Crossroads Live North America,1,0,,,,Managing Director,https://jobbank.apap365.org/jobs/22244185/?utm_source=782336&utm_medium=featuredJobs&utm_campaign=mainLanding&utm_term=?utm_source=782336&utm_medium=featuredJobs&utm_campaign=mainLanding&utm_term=,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,"CSS, Inc",1,0,,,,CRM Manager,"https://www.ziprecruiter.com/c/CSS/Job/CRM-Manager/-in-Silver-Spring,MD?jid=bc15568a1ed9e3d1",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,GO THRIVE RECRUITING LLC,1,0,,,,Sales Team Lead,"https://www.ziprecruiter.com/c/GO-THRIVE-RECRUITING/Job/Sales-Team-Lead/-in-Rockville,MD?jid=cc4d39b191ca8158",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Greater DC Diaper Bank,1,0,,,,Program Coordinator,https://www.idealist.org/en/nonprofit-job/10c39688a35549049a83a3f36d6f733d-program-coordinator-greater-dc-diaper-bank-silver-spring,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,HELMS HOME CARE LLC,1,0,,,,PRN Infusion RN MD,"https://www.ziprecruiter.com/c/HELMS-HOME-CARE/Job/PRN-Infusion-RN-MD/-in-Rockville,MD?jid=723d730522db6527",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Hilti Corporation,1,0,,,,Customer Relations Manager,https://jobs.stevenagefc.com/jobs/customer-relations-manager-gaithersburg-maryland/2752764711-2/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,IMEG Corp.,1,0,,,,"Electrical Engineering Graduate Designer | Germantown, MD",https://www.indeed.com/viewjob?jk=c50788c3fc88546e,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Integrated Systems Solutions,2,0,,,,Junior Web Developer,https://www.indeed.com/viewjob?jk=5aeff6fe374e52a4,Senior Web Developer,https://www.indeed.com/viewjob?jk=59b19ff1302b6f4d,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Kids First Swim School Rockville,1,0,,,,Certified Lifeguard,https://www.indeed.com/viewjob?jk=971cc1a21c82d37e,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,La Petite Academy,1,0,,,,Lead Teacher Summer Camp,https://www.indeed.com/viewjob?jk=aa04d18ba856d361,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Mortenson,1,0,,,,Solar CDL Driver - Pawnee,https://www.whatjobs.com/jobs/solar-cdl-driver-pawnee/gaithersburg-maryland?id=2673826521,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,ProCare Therapy,1,0,,,,"Add New Posting Speech Language Pathologist Job - Gaithersburg, MD",https://www.indeed.com/viewjob?jk=f4f64126b8b28be0,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Schnabel,4,0,,,,General Superintendent,https://www.linkedin.com/jobs/view/general-superintendent-at-schnabel-4407245843,Pile Driver,"https://www.ziprecruiter.com/c/Schnabel/Job/Pile-Driver/-in-Rockville,MD?jid=9be14082e0ead725",Foreman,https://www.indeed.com/viewjob?jk=6e613e7fe10f5a53,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,StudyPoint,1,0,,,,"Tutor - SAT/ACT - Part-Time, In-Person","https://www.ziprecruiter.com/c/StudyPoint/Job/Tutor-SAT-ACT-Part-Time,-In-Person/-in-Bethesda,MD?jid=2637f8c0cc614588",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,The Geneva Foundation,1,0,,,,"Research Associate (I, II, III) - Uniformed Services University",https://www.indeed.com/viewjob?jk=d7679c4f49ed3b88,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Toole Design Group LLC,1,0,,,,Project Civil Engineer,https://www.indeed.com/viewjob?jk=deedcbb39c8cb5be,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Trans AM Trucking,1,0,,,,"Owner Operators / CDL-A / $2,500 - $6,000 Weekly / 1 Year EXP Req'd",https://www.adzuna.com/details/5716789361,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Vertex Counseling and Wellness,1,0,,,,Intake Coordinator,https://www.linkedin.com/jobs/view/intake-coordinator-at-vertex-counseling-and-wellness-4408326705,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,Wahid Inc,1,0,,,,Retail Sales Consultant,https://www.adzuna.com/details/5716604401,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-05-02,WREN,1,0,,,,Lead Bartender - WREN Tysons,https://jobs.womenforhire.com/job/usa/silver-spring-md/lead-bartender-wren-tysons-059918/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
