month,company,unique_job_postings_found
2026-04,Montgomery County Public Schools,96
2026-04,Trinity Health,31
2026-04,Walmart,21
2026-04,Care.com,16
2026-04,Leidos,14
2026-04,Adventist Healthcare,14
2026-04,"Healthcare Services Group, Inc.",13
2026-04,Apex Focus Group,13
2026-04,Michaels Stores,12
2026-04,Aldi,12
2026-04,Adventist HealthCare,12
2026-04,Sunrise Senior Living,11
2026-04,Montgomery County Government,11
2026-04,DoorDash,11
2026-04,TravelNurseSource,10
2026-04,Target,10
2026-04,Sittercity.com,9
2026-04,VirtualVocations,8
2026-04,Amazon,8
2026-04,Allied Universal,8
2026-04,Whole Foods,7
2026-04,MedStar Health,7
2026-04,AlliedTravelCareers,7
2026-04,Taco Bell - Takoma Park,6
2026-04,TJ Maxx,6
2026-04,Starbucks,6
2026-04,Pmm Companies,6
2026-04,Petco,6
2026-04,Opinionaura,6
2026-04,JT-DDAAFF NCR DHN - WALTER REED,6
